YEAR,DOY,HOUR,MINUTE,MAGNETOPAUSE(MP)/BOW Shock(BS),,X KSM(Rs),Y KSM(Rs),Z KSM(Rs)
2005,126,23,50,MP,Inbound,2.78,-31.04,-2.05
2005,126,16,30,MP,Outbound,1.77,-29.86,-1.97
2005,126,18,54,MP,Outbound,2.11,-30.26,-2
2005,126,21,10,MP,Outbound,2.42,-30.63,-2.02
2005,127,4,50,MP,Outbound,3.46,-31.78,-2.1
2005,128,1,10,MP,Inbound,6.16,-34.23,-2.26
2005,128,1,55,MP,Outbound,6.26,-34.31,-2.27
2005,130,21,26,BS,Inbound,14.08,-37.44,-2.48
2005,130,20,51,BS,Outbound,14.02,-37.44,-2.48
2005,131,0,46,BS,Outbound,14.41,-37.43,-2.48
2005,134,5,42,BS,Inbound,20.39,-33.38,-2.23
2005,136,6,1,BS,Inbound,21.94,-27.07,-1.82
2005,136,14,37,BS,Inbound,21.96,-25.61,-1.72
2005,136,15,43,BS,Inbound,21.96,-25.42,-1.71
2005,136,1,55,BS,Outbound,21.89,-27.73,-1.86
2005,136,10,25,BS,Outbound,21.96,-26.34,-1.77
2005,136,15,22,BS,Outbound,21.96,-25.49,-1.71
2005,137,20,0,MP,Inbound,21.3,-19.79,-1.33
2005,145,7,30,MP,Inbound,2.94,-31.56,-2.28
2005,145,3,43,MP,Outbound,2.44,-30.99,-2.24
2005,145,13,30,MP,Outbound,3.75,-32.4,-2.34
2005,148,12,51,BS,Inbound,12.39,-37.45,-2.73
2005,148,12,29,BS,Outbound,12.35,-37.45,-2.73
2005,148,16,37,BS,Outbound,12.79,-37.51,-2.74
2005,152,16,14,BS,Inbound,20.4,-32.94,-2.44
2005,152,19,41,BS,Inbound,20.57,-32.57,-2.41
2005,152,17,6,BS,Outbound,20.45,-32.85,-2.43
2005,152,21,43,BS,Outbound,20.66,-32.34,-2.4
2005,153,1,10,BS,Inbound,20.81,-31.94,-2.37
2005,153,18,33,BS,Inbound,21.41,-29.69,-2.21
