RING PLANE CROSSING ,,,,,
Seq  = Cassini planning sequence,,,,,
 Rev = revolution - defined from apoapse to apoapse,,,,,
"Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S70,154,Ascending Ring Crossing,2011-275T04:27,2-Oct,8.224
S70,155,Descending Ring Crossing,2011-292T07:40,19-Oct,4.744
S70,155,Ascending Ring Crossing,2011-292T23:55,19-Oct,8.205
S70,156,Descending Ring Crossing,2011-310T03:13,6-Nov,4.762
S70,156,Ascending Ring Crossing,2011-310T19:19,6-Nov,8.117
S71,157,Descending Ring Crossing,2011-327T22:45,23-Nov,5.267
S71,157,Ascending Ring Crossing,2011-328T13:38,24-Nov,6.99
S71,158,Descending Ring Crossing,2011-345T20:15,11-Dec,5.257
S71,158,Ascending Ring Crossing,2011-346T11:07,12-Dec,6.994
S71,158,Descending Ring Crossing,2011-348T14:22,14-Dec,24.975
S71,159,Ascending Ring Crossing,2012-003T22:03,3-Jan,9.665
S71,159,Descending Ring Crossing,2012-004T21:50,4-Jan,6.966
S72,160,Ascending Ring Crossing,2012-028T03:21,28-Jan,9.735
S72,160,Descending Ring Crossing,2012-029T03:12,29-Jan,6.927
S72,161,Ascending Ring Crossing,2012-048T06:23,17-Feb,32.591
S72,161,Descending Ring Crossing,2012-052T01:36,21-Feb,4.276
S72,161,Ascending Ring Crossing,2012-052T20:24,21-Feb,9.885
S72,162,Descending Ring Crossing,2012-069T22:24,9-Mar,4.308
S72,162,Ascending Ring Crossing,2012-070T17:12,10-Mar,9.855
S72,163,Descending Ring Crossing,2012-087T17:40,27-Mar,4.331
S72,163,Ascending Ring Crossing,2012-088T12:08,28-Mar,9.682
S73,164,Descending Ring Crossing,2012-105T13:08,14-Apr,4.357
S73,164,Ascending Ring Crossing,2012-106T07:14,15-Apr,9.481
S73,165,Descending Ring Crossing,2012-123T08:38,2-May,4.358
S73,165,Ascending Ring Crossing,2012-124T02:40,3-May,9.454
S73,166,Descending Ring Crossing,2012-140T19:21,19-May,8.001
S73,166,Ascending Ring Crossing,2012-141T11:11,20-May,4.737
S73,166,Descending Ring Crossing,2012-143T03:58,22-May,20.855
S73,167,Ascending Ring Crossing,2012-157T03:22,5-Jun,3.315
S73,167,Descending Ring Crossing,2012-159T01:30,7-Jun,20.454
S74,168,Ascending Ring Crossing,2012-180T19:22,28-Jun,5.879
S74,168,Descending Ring Crossing,2012-182T23:34,30-Jun,20.671
S74,169,Ascending Ring Crossing,2012-204T17:56,22-Jul,5.888
S74,169,Descending Ring Crossing,2012-206T21:04,24-Jul,20.36
S74,170,Ascending Ring Crossing,2012-225T18:56,12-Aug,6.747
S74,170,Descending Ring Crossing,2012-228T02:31,15-Aug,20.424
S75,171,Ascending Ring Crossing,2012-247T01:01,3-Sep,6.764
S75,171,Descending Ring Crossing,2012-249T08:40,5-Sep,20.431
S75,172,Ascending Ring Crossing,2012-268T08:20,24-Sep,6.764
S75,172,Descending Ring Crossing,2012-270T15:19,26-Sep,20.262
S75,173,Ascending Ring Crossing,2012-291T18:42,17-Oct,10.018
S75,173,Descending Ring Crossing,2012-294T12:37,20-Oct,20.24
S76,174,Ascending Ring Crossing,2012-315T17:08,10-Nov,10.028
S76,174,Descending Ring Crossing,2012-318T10:49,13-Nov,20.185
S76,175,Ascending Ring Crossing,2012-331T17:24,26-Nov,7.978
S76,175,Descending Ring Crossing,2012-334T09:25,29-Nov,20.179
S76,176,Ascending Ring Crossing,2012-344T17:13,9-Dec,8.314
S76,176,Descending Ring Crossing,2012-347T15:52,12-Dec,20.174
S76,177,Ascending Ring Crossing,2012-357T23:29,22-Dec,8.307
S76,177,Descending Ring Crossing,2012-360T22:14,25-Dec,20.196
S76,178,Ascending Ring Crossing,2013-005T06:08,5-Jan,8.317
S76,178,Descending Ring Crossing,2013-008T04:57,8-Jan,20.207
S77,179,Ascending Ring Crossing,2013-018T13:13,18-Jan,8.327
S77,179,Descending Ring Crossing,2013-021T12:07,21-Jan,20.219
S77,180,Ascending Ring Crossing,2013-031T20:29,31-Jan,8.324
S77,180,Descending Ring Crossing,2013-034T19:24,3-Feb,20.227
S77,181,Ascending Ring Crossing,2013-045T03:47,14-Feb,8.313
S77,181,Descending Ring Crossing,2013-048T02:23,17-Feb,20.171
S77,182,Ascending Ring Crossing,2013-056T19:13,25-Feb,8.753
S77,182,Descending Ring Crossing,2013-060T01:20,1-Mar,20.203
S77,183,Ascending Ring Crossing,2013-068T18:22,9-Mar,8.756
S77,183,Descending Ring Crossing,2013-072T00:04,13-Mar,20.133
S77,184,Ascending Ring Crossing,2013-080T17:27,21-Mar,8.762
S77,184,Descending Ring Crossing,2013-083T23:12,24-Mar,20.137
S78,185,Ascending Ring Crossing,2013-092T16:28,2-Apr,8.75
S78,185,Descending Ring Crossing,2013-095T21:58,5-Apr,20.107
S78,186,Ascending Ring Crossing,2013-102T08:52,12-Apr,6.462
S78,186,Descending Ring Crossing,2013-105T11:28,15-Apr,20.116
S78,187,Ascending Ring Crossing,2013-111T22:34,21-Apr,6.467
S78,187,Descending Ring Crossing,2013-115T01:13,25-Apr,20.12
S78,188,Ascending Ring Crossing,2013-121T12:16,1-May,6.463
S78,188,Descending Ring Crossing,2013-124T14:54,4-May,20.119
S78,189,Ascending Ring Crossing,2013-131T01:55,11-May,6.459
S78,189,Descending Ring Crossing,2013-134T04:33,14-May,20.125
S78,190,Ascending Ring Crossing,2013-140T15:40,20-May,6.455
S78,190,Descending Ring Crossing,2013-143T18:01,23-May,20.096
S78,191,Ascending Ring Crossing,2013-151T17:10,31-May,10.98
S78,191,Descending Ring Crossing,2013-155T16:53,4-Jun,20.11
S79,192,Ascending Ring Crossing,2013-163T16:06,12-Jun,10.986
S79,192,Descending Ring Crossing,2013-167T15:54,16-Jun,20.116
S79,193,Ascending Ring Crossing,2013-175T15:16,24-Jun,10.99
S79,193,Descending Ring Crossing,2013-179T15:04,28-Jun,20.115
S79,194,Ascending Ring Crossing,2013-187T14:17,6-Jul,10.976
S79,194,Descending Ring Crossing,2013-191T13:45,10-Jul,20.083
S79,195,Ascending Ring Crossing,2013-201T22:04,20-Jul,18.176
S79,195,Descending Ring Crossing,2013-207T12:17,26-Jul,20.066
S79,196,Ascending Ring Crossing,2013-223T00:04,11-Aug,30.033
S80,196,Descending Ring Crossing,2013-231T09:58,19-Aug,20.105
